ticker,peer_string,peer_list
TPHS,"BKE,CTRN,ALEX,MLP","['BKE', 'CTRN', 'ALEX', 'MLP']"
TPIC,"SENY,PYBX,NUVG,SIEGY","['SENY', 'PYBX', 'NUVG', 'SIEGY']"
TPL,"PBT,SBR,SJT,MTR,VNOM,DMLP,PHX","['PBT', 'SBR', 'SJT', 'MTR', 'VNOM', 'DMLP', 'PHX']"
TPR,"VRA,TPR","['VRA', 'TPR']"
TPVG,"PBIC-CA,PHCF,PAX,ORCC","['PBIC-CA', 'PHCF', 'PAX', 'ORCC']"
TPX,"LEG,LZB,HOFT,CRWS","['LEG', 'LZB', 'HOFT', 'CRWS']"
TPZ,,['']
TR,"HSY,RMCF,JBSS,MDLZ","['HSY', 'RMCF', 'JBSS', 'MDLZ']"
TRC,"LMNR,ALCO,FOR,FDP,WVVI,NNUTU,HHC,JOE","['LMNR', 'ALCO', 'FOR', 'FDP', 'WVVI', 'NNUTU', 'HHC', 'JOE']"
TRCH,"ECCE,CMXC,NFEI","['ECCE', 'CMXC', 'NFEI']"
TREC,"PSX,XOM,GEVO,REX,SHI","['PSX', 'XOM', 'GEVO', 'REX', 'SHI']"
TREE,"GPRC,TMSH,WLFC,TGH","['GPRC', 'TMSH', 'WLFC', 'TGH']"
TREX,"AWI,UFPI,HBP","['AWI', 'UFPI', 'HBP']"
TRGP,"CVX,EPD,ENB,E,MUR,XOM,REPYY","['CVX', 'EPD', 'ENB', 'E', 'MUR', 'XOM', 'REPYY']"
TRHC,"PLAN,PLAY-CA,PLFX,PKK-CA","['PLAN', 'PLAY-CA', 'PLFX', 'PKK-CA']"
TRI,"FDS,MSCI,MORN,DNB,PSO,GCI,SSTK,FOXA,NWSA","['FDS', 'MSCI', 'MORN', 'DNB', 'PSO', 'GCI', 'SSTK', 'FOXA', 'NWSA']"
TRIB,"OSUR,BIO,ABT,CEMI,QDEL,TMO,DHR","['OSUR', 'BIO', 'ABT', 'CEMI', 'QDEL', 'TMO', 'DHR']"
