ticker,peer_string,peer_list
A,"TMO,PKI,DHR,TER,NATI,ILMN,AME,BRKR,GE,SPMYY","['TMO', 'PKI', 'DHR', 'TER', 'NATI', 'ILMN', 'AME', 'BRKR', 'GE', 'SPMYY']"
AA,"ACH,KALU,CENX,NHYDY,AWCMY,BBL,BHP","['ACH', 'KALU', 'CENX', 'NHYDY', 'AWCMY', 'BBL', 'BHP']"
AAC,"SEM,ACHC,USPH,BICX","['SEM', 'ACHC', 'USPH', 'BICX']"
AAL,"ALGT,DAL,JBLU,SAVE,ALK,LUV,UAL,SKYW,HA","['ALGT', 'DAL', 'JBLU', 'SAVE', 'ALK', 'LUV', 'UAL', 'SKYW', 'HA']"
AAMC,"ASPS,BAM,WD,JOE","['ASPS', 'BAM', 'WD', 'JOE']"
AAME,"AFL,CIA,FFG,UNM,CNO,NWLI,KCLI","['AFL', 'CIA', 'FFG', 'UNM', 'CNO', 'NWLI', 'KCLI']"
AAN,"CONN,BBY,RCII,WSM,GME","['CONN', 'BBY', 'RCII', 'WSM', 'GME']"
AAOI,"MXL,EMKR,NPTN,CSCO","['MXL', 'EMKR', 'NPTN', 'CSCO']"
AAON,"LII,AOS,IR,MCCK,LXU,SXI,JCI","['LII', 'AOS', 'IR', 'MCCK', 'LXU', 'SXI', 'JCI']"
AAP,"ORLY,AZO,GPC,MNRO,PRTS,HZO","['ORLY', 'AZO', 'GPC', 'MNRO', 'PRTS', 'HZO']"
AAPL,"MSFT,HPQ,GOOG,AMZN,NFLX","['MSFT', 'HPQ', 'GOOG', 'AMZN', 'NFLX']"
AAT,"CIM,DX,SPG,VNO","['CIM', 'DX', 'SPG', 'VNO']"
AAU,"NG,AUY,TRX,SA,TNX-CA,NG-CA","['NG', 'AUY', 'TRX', 'SA', 'TNX-CA', 'NG-CA']"
AAWW,"ATSG,FDX,BA","['ATSG', 'FDX', 'BA']"
AB,"AMG,UBS,AXAHY","['AMG', 'UBS', 'AXAHY']"
ABB,"GE,EMR,HON,ITW,SIEGY","['GE', 'EMR', 'HON', 'ITW', 'SIEGY']"
ABBV,"PFE,BMY,LLY,AMGN,GILD,BIIB,GSK,AZN,NBIX","['PFE', 'BMY', 'LLY', 'AMGN', 'GILD', 'BIIB', 'GSK', 'AZN', 'NBIX']"
ABC,"CAH,MCK,HSIC,OMI,HLF,PDCO,CVS,RAD,OMCL","['CAH', 'MCK', 'HSIC', 'OMI', 'HLF', 'PDCO', 'CVS', 'RAD', 'OMCL']"
ABCB,"CBAN,UCBI,AUBN,ATLO","['CBAN', 'UCBI', 'AUBN', 'ATLO']"
ABEO,"TARO,SUWN,ELTP,MRK","['TARO', 'SUWN', 'ELTP', 'MRK']"
ABEV,"SAM,TBVPF,BUD,BF.B","['SAM', 'TBVPF', 'BUD', 'BF.B']"
ABG,"GPI,PAG,SAH,AN,KMX,LAD,CRMT,CPRT,RUSHA","['GPI', 'PAG', 'SAH', 'AN', 'KMX', 'LAD', 'CRMT', 'CPRT', 'RUSHA']"
ABIO,"CYTK,PTN,BTX,MDT,UTHR","['CYTK', 'PTN', 'BTX', 'MDT', 'UTHR']"
ABM,"SP,CTAS,HCSG,RTOKY,EME","['SP', 'CTAS', 'HCSG', 'RTOKY', 'EME']"
ABMD,"TFX,BSX,STXS,ATRC","['TFX', 'BSX', 'STXS', 'ATRC']"
ABR,"MNR,SHO,TWO,HTA","['MNR', 'SHO', 'TWO', 'HTA']"
ABT,"JNJ,PFE,TMO,HOLX,MDT,BMY,BSX,AZN,NVS,GSK","['JNJ', 'PFE', 'TMO', 'HOLX', 'MDT', 'BMY', 'BSX', 'AZN', 'NVS', 'GSK']"
ABTX,"NABZY,NBHC,NBN,NA-CA","['NABZY', 'NBHC', 'NBN', 'NA-CA']"
ABUS,"NWBO,NRC,NYMX,OMMH","['NWBO', 'NRC', 'NYMX', 'OMMH']"
AC,"PBIC-CA,PHCF,PAX,ORCC","['PBIC-CA', 'PHCF', 'PAX', 'ORCC']"
ACA,"JUHL,ISUN,IEA,GRB-CA","['JUHL', 'ISUN', 'IEA', 'GRB-CA']"
ACAD,"VNDA,PFE,LLY,JNJ,BMY,ADMS","['VNDA', 'PFE', 'LLY', 'JNJ', 'BMY', 'ADMS']"
ACB,LVVV,['LVVV']
ACBI,"NABZY,NBHC,NBN,NA-CA","['NABZY', 'NBHC', 'NBN', 'NA-CA']"
ACC,"DCT,CTT,CUBE,CCI","['DCT', 'CTT', 'CUBE', 'CCI']"
ACCO,"PBI,ACU,LOGI,MMM,NWL","['PBI', 'ACU', 'LOGI', 'MMM', 'NWL']"
ACER,"NWBO,NRC,NYMX,OMMH","['NWBO', 'NRC', 'NYMX', 'OMMH']"
ACET,"KWR,MRK,PFE,TEVA,NVS,HWKN","['KWR', 'MRK', 'PFE', 'TEVA', 'NVS', 'HWKN']"
ACGL,"XL,WRB,RE,MKL,AWH,AXS","['XL', 'WRB', 'RE', 'MKL', 'AWH', 'AXS']"
ACH,"AA,KALU,AWCMY,NHYDY","['AA', 'KALU', 'AWCMY', 'NHYDY']"
ACHC,"ENSG,NHC,UHS,CSU,DVCR","['ENSG', 'NHC', 'UHS', 'CSU', 'DVCR']"
ACHV,"NWBO,NRC,NYMX,OMMH","['NWBO', 'NRC', 'NYMX', 'OMMH']"
ACIU,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ACIW,"FISV,FICO,ORCL,JKHY,INTU,EPAY,FIS,IBM,NCR,MA","['FISV', 'FICO', 'ORCL', 'JKHY', 'INTU', 'EPAY', 'FIS', 'IBM', 'NCR', 'MA']"
ACLS,"ASYS,CVV,LRCX,AMAT,VECO","['ASYS', 'CVV', 'LRCX', 'AMAT', 'VECO']"
ACM,"KBR,TTEK,ARCAY,GVA,HIL","['KBR', 'TTEK', 'ARCAY', 'GVA', 'HIL']"
ACMR,"KLIC,KLAC,LRCX,ONTO","['KLIC', 'KLAC', 'LRCX', 'ONTO']"
ACN,"CTSH,IBM,INFY,WIT,EBAY,ERIC,NOK,SAP,XRX,G","['CTSH', 'IBM', 'INFY', 'WIT', 'EBAY', 'ERIC', 'NOK', 'SAP', 'XRX', 'G']"
ACNB,"UVSP,FNB,STBA,ORRF,PWOD,FUNC,CZNC,FULT","['UVSP', 'FNB', 'STBA', 'ORRF', 'PWOD', 'FUNC', 'CZNC', 'FULT']"
ACOR,"RGEN,BMRN,AFMD,SRPT","['RGEN', 'BMRN', 'AFMD', 'SRPT']"
ACP,,['']
ACRE,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
ACRS,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ACRX,"BDSI,DRRX,CARA,REPH","['BDSI', 'DRRX', 'CARA', 'REPH']"
ACTG,"CTTC,OPTI,ENGT,XLNX","['CTTC', 'OPTI', 'ENGT', 'XLNX']"
ACU,"NWL,LCUT,JAKK,ENR,SVT,JNJ,ACCO","['NWL', 'LCUT', 'JAKK', 'ENR', 'SVT', 'JNJ', 'ACCO']"
ACV,,['']
ACY,"AL,TGH,WLFC,AER,CAP,FLY","['AL', 'TGH', 'WLFC', 'AER', 'CAP', 'FLY']"
ADAP,"NVAX,ENZ,QURE,EXEL","['NVAX', 'ENZ', 'QURE', 'EXEL']"
ADBE,"ORCL,ADSK,INTU,MSFT,NUAN,CRM,SAP,SOFO,IBM,AAPL","['ORCL', 'ADSK', 'INTU', 'MSFT', 'NUAN', 'CRM', 'SAP', 'SOFO', 'IBM', 'AAPL']"
ADC,"KR,WMT,CVS,T,DIN","['KR', 'WMT', 'CVS', 'T', 'DIN']"
ADES,"THR,LECO,KRNT,ALJJ","['THR', 'LECO', 'KRNT', 'ALJJ']"
ADI,"MXIM,TXN,SLAB,CRUS,MCHP,STM,SMTC","['MXIM', 'TXN', 'SLAB', 'CRUS', 'MCHP', 'STM', 'SMTC']"
ADIL,"NWBO,NRC,NYMX,OMMH","['NWBO', 'NRC', 'NYMX', 'OMMH']"
ADM,"BG,INGR,THS,BRK.A,MGPI,BRFS3-BR,TSN,SEB,BRFS","['BG', 'INGR', 'THS', 'BRK.A', 'MGPI', 'BRFS3-BR', 'TSN', 'SEB', 'BRFS']"
ADMA,"NVAX,RGEN,CVM","['NVAX', 'RGEN', 'CVM']"
ADMP,"CORT,PFE,TEVA,JNJ,GSK,ATRS,SIGA","['CORT', 'PFE', 'TEVA', 'JNJ', 'GSK', 'ATRS', 'SIGA']"
ADMS,"ZGNX,SUPN,ABBV,GSK,MRK","['ZGNX', 'SUPN', 'ABBV', 'GSK', 'MRK']"
ADNT,"XTC-CA,LEA,ADNT","['XTC-CA', 'LEA', 'ADNT']"
ADP,"PAYX,EFX,NSP,ADS,TNET,ACN,INTU,BBSI,IRM,EXPGY","['PAYX', 'EFX', 'NSP', 'ADS', 'TNET', 'ACN', 'INTU', 'BBSI', 'IRM', 'EXPGY']"
ADRA,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
ADS,"FIS,GPN,FISV,PCOM","['FIS', 'GPN', 'FISV', 'PCOM']"
ADSK,"ADBE,SNPS,ANSS,PTC,NUAN,TRMB,AAPL,FFIV,DASTY,DDD","['ADBE', 'SNPS', 'ANSS', 'PTC', 'NUAN', 'TRMB', 'AAPL', 'FFIV', 'DASTY', 'DDD']"
ADT,"BCO,ICTSF,PANW,ETSY","['BCO', 'ICTSF', 'PANW', 'ETSY']"
ADTN,"CSCO,JNPR,CIEN,CALX,EXTR,AUDC,ERIC","['CSCO', 'JNPR', 'CIEN', 'CALX', 'EXTR', 'AUDC', 'ERIC']"
ADUS,"AMED,LHCG,NHC,FVE","['AMED', 'LHCG', 'NHC', 'FVE']"
ADVM,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ADX,,['']
AE,"GLP,SPH,INT,PBFX,GEL,CEQP,DKL","['GLP', 'SPH', 'INT', 'PBFX', 'GEL', 'CEQP', 'DKL']"
AEE,"CMS,LNT,D,DUK,XEL,WEC,OTTR","['CMS', 'LNT', 'D', 'DUK', 'XEL', 'WEC', 'OTTR']"
AEF,,['']
AEG,"LNC,MET,PUK","['LNC', 'MET', 'PUK']"
AEGN,"MTZ,STRL,PRIM,DY,GVA,TISI","['MTZ', 'STRL', 'PRIM', 'DY', 'GVA', 'TISI']"
AEHR,"TER,INTT,COHU,FORM","['TER', 'INTT', 'COHU', 'FORM']"
AEIS,"BRKS,UCTT,MKSI,COHU,ENTG,AMAT,CVV","['BRKS', 'UCTT', 'MKSI', 'COHU', 'ENTG', 'AMAT', 'CVV']"
AEL,"CIA,FFG,NWLI,KCLI,VOYA,AFG","['CIA', 'FFG', 'NWLI', 'KCLI', 'VOYA', 'AFG']"
AEM,"AUY,EGO,CDE,NGD,HMY,NGD-CA,ELD-CA","['AUY', 'EGO', 'CDE', 'NGD', 'HMY', 'NGD-CA', 'ELD-CA']"
AEMD,"INO,COHR,BRKR,IDRA,PACB,AXDX,PKI","['INO', 'COHR', 'BRKR', 'IDRA', 'PACB', 'AXDX', 'PKI']"
AEO,"BKE,URBN,GPS,ANF,ZUMZ,EXPR,TLYS","['BKE', 'URBN', 'GPS', 'ANF', 'ZUMZ', 'EXPR', 'TLYS']"
AEP,"DUK,PPL,ETR,D,NRG,EXC,AES,SO,FE,XEL","['DUK', 'PPL', 'ETR', 'D', 'NRG', 'EXC', 'AES', 'SO', 'FE', 'XEL']"
AER,"TGH,AL,WLFC,ACY,GE,FLY,CAP","['TGH', 'AL', 'WLFC', 'ACY', 'GE', 'FLY', 'CAP']"
AERI,"INSM,LXRX,ALIM,MRK","['INSM', 'LXRX', 'ALIM', 'MRK']"
AES,"D,DUK,AEP,NRG,SRE,ORA,SPWR","['D', 'DUK', 'AEP', 'NRG', 'SRE', 'ORA', 'SPWR']"
AEY,"TESS,BDR,GLW,CSCO,CMCSA,RSCF,WIRX,KEQU,VTEQ","['TESS', 'BDR', 'GLW', 'CSCO', 'CMCSA', 'RSCF', 'WIRX', 'KEQU', 'VTEQ']"
AEYE,"KOSS,APYP,GLOB,ANMP","['KOSS', 'APYP', 'GLOB', 'ANMP']"
AEZS,"SPPI,TH-CA,NVS,BMY,SNY,HALO","['SPPI', 'TH-CA', 'NVS', 'BMY', 'SNY', 'HALO']"
AFB,,['']
AFG,"HCC,HIG,CB,RLI,TRV,L,CINF,WRB,MKL","['HCC', 'HIG', 'CB', 'RLI', 'TRV', 'L', 'CINF', 'WRB', 'MKL']"
AFI,"TGSI,PFB-CA,AFI","['TGSI', 'PFB-CA', 'AFI']"
AFIN,"OPI,OLP,OHI,PARAUCO-CL","['OPI', 'OLP', 'OHI', 'PARAUCO-CL']"
AFL,"UNM,CNO,CI,AIZ,PFG,AAME","['UNM', 'CNO', 'CI', 'AIZ', 'PFG', 'AAME']"
AFMD,"ACOR,AGEN,MACK,RGEN","['ACOR', 'AGEN', 'MACK', 'RGEN']"
AFT,,['']
AG,"AXU,HL,EXK,PAAS,SSRM,MAG,SVM,WPM,GPL","['AXU', 'HL', 'EXK', 'PAAS', 'SSRM', 'MAG', 'SVM', 'WPM', 'GPL']"
AGCO,"DE,LNN,TTC,ALG,ARTW,KUBTY","['DE', 'LNN', 'TTC', 'ALG', 'ARTW', 'KUBTY']"
AGD,,['']
AGE,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
AGEN,"IDRA,NWBO,MRK,PARD,GSK,JNJ,CLDX,IMUC,BMY","['IDRA', 'NWBO', 'MRK', 'PARD', 'GSK', 'JNJ', 'CLDX', 'IMUC', 'BMY']"
AGFS,"INAG53-AR,MBII,RX-CA,SNES","['INAG53-AR', 'MBII', 'RX-CA', 'SNES']"
AGI,"K,GOLD,AUY,ALIAF,NGD","['K', 'GOLD', 'AUY', 'ALIAF', 'NGD']"
AGIO,"XNCR,EXEL,PFE,BMRN,ALXN,GSK,LLY","['XNCR', 'EXEL', 'PFE', 'BMRN', 'ALXN', 'GSK', 'LLY']"
AGLE,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
AGM,"CAPP,SLM,PFSI,FMCC","['CAPP', 'SLM', 'PFSI', 'FMCC']"
AGM.A,"CAPP,WRLD,PFSI,SLM","['CAPP', 'WRLD', 'PFSI', 'SLM']"
AGMH,"PFPT,PFM-CA,PCYS,PFSW","['PFPT', 'PFM-CA', 'PCYS', 'PFSW']"
AGNC,"HST,ESS,BXMT,BOWFF","['HST', 'ESS', 'BXMT', 'BOWFF']"
AGO,"MBI,ESNT,RDN,ACGL","['MBI', 'ESNT', 'RDN', 'ACGL']"
AGR,"MNTK,MXG-CA,NRG,MGEE","['MNTK', 'MXG-CA', 'NRG', 'MGEE']"
AGRO,"BG,CRESY,SEB","['BG', 'CRESY', 'SEB']"
AGRX,"TXMD,ATRS,JNJ,MRK,PFE","['TXMD', 'ATRS', 'JNJ', 'MRK', 'PFE']"
AGS,"QNC-CA,POSI3-BR,NYXO,NVDA","['QNC-CA', 'POSI3-BR', 'NYXO', 'NVDA']"
AGTC,"DRNA,BLUE,ONVO","['DRNA', 'BLUE', 'ONVO']"
AGX,"KBR,SCHN,NDSN,TAYD,PRIM","['KBR', 'SCHN', 'NDSN', 'TAYD', 'PRIM']"
AGYS,"CZR,BYD,PAR,NCR,SNX,NCLH,MTN","['CZR', 'BYD', 'PAR', 'NCR', 'SNX', 'NCLH', 'MTN']"
AHC,"DJCO,LEE,SSP,NYT,MEG,NWSA,GCI","['DJCO', 'LEE', 'SSP', 'NYT', 'MEG', 'NWSA', 'GCI']"
AHH,"DRI,DKS,KR,HD,RAD","['DRI', 'DKS', 'KR', 'HD', 'RAD']"
AHPI,"MASI,INGN,DYNT,TMO,ELMD,TFX,RMD,CAH,GE","['MASI', 'INGN', 'DYNT', 'TMO', 'ELMD', 'TFX', 'RMD', 'CAH', 'GE']"
AHT,"MFA,GEO,IRT,DLR","['MFA', 'GEO', 'IRT', 'DLR']"
AI,"WPC,GHL,MKTX,SCHW","['WPC', 'GHL', 'MKTX', 'SCHW']"
AIF,,['']
AIG,"ACGL,AFG,SAFT,WTM,HMN,PUK,AEG","['ACGL', 'AFG', 'SAFT', 'WTM', 'HMN', 'PUK', 'AEG']"
AIHS,"QCCO,QFIN,RKT,OPRT","['QCCO', 'QFIN', 'RKT', 'OPRT']"
AIMC,"RBC,RXN,GE,ROLL,TKR,KAMN,AMOT","['RBC', 'RXN', 'GE', 'ROLL', 'TKR', 'KAMN', 'AMOT']"
AIN,"KAI,CRWS,GE,TILE","['KAI', 'CRWS', 'GE', 'TILE']"
AINC,"SEMUF,GDOT,CAPP,SMPR","['SEMUF', 'GDOT', 'CAPP', 'SMPR']"
AINV,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
AIR,"LMT,SPR,BA,ERJ,SAVE,EMBR3-BR","['LMT', 'SPR', 'BA', 'ERJ', 'SAVE', 'EMBR3-BR']"
AIRG,"QCOM,PRKR,QRVO,SATS","['QCOM', 'PRKR', 'QRVO', 'SATS']"
AIRI,"TGI,DCO,TDG,CVU,ESLT,ATRO","['TGI', 'DCO', 'TDG', 'CVU', 'ESLT', 'ATRO']"
AIRT,"ATSG,FDX,UPS,SINO,SKPN","['ATSG', 'FDX', 'UPS', 'SINO', 'SKPN']"
AIT,"MSM,LAWS,DXPE,GPC,FAST,GWW,WCC,KAMN,HEES,CW","['MSM', 'LAWS', 'DXPE', 'GPC', 'FAST', 'GWW', 'WCC', 'KAMN', 'HEES', 'CW']"
AIV,"BOWFF,AKR,HR,BXMT","['BOWFF', 'AKR', 'HR', 'BXMT']"
AIZ,"UNM,HIG,MET,AFL,CNO,PFG,UNH","['UNM', 'HIG', 'MET', 'AFL', 'CNO', 'PFG', 'UNH']"
AJG,"CRD.B,AON,MMC,BRO","['CRD.B', 'AON', 'MMC', 'BRO']"
AJRD,"DCO,CW,TGI,TDG","['DCO', 'CW', 'TGI', 'TDG']"
AJX,"PBIC-CA,PHCF,PAX,ORCC","['PBIC-CA', 'PHCF', 'PAX', 'ORCC']"
AKAM,"VRSN,LLNW,IBM,FFIV,NUAN,T,QCOM,EQIX","['VRSN', 'LLNW', 'IBM', 'FFIV', 'NUAN', 'T', 'QCOM', 'EQIX']"
AKBA,"AMGN,NVS,JNJ,NKTR,ENZN","['AMGN', 'NVS', 'JNJ', 'NKTR', 'ENZN']"
AKO.A,"COKE,KOF,CCU-CL","['COKE', 'KOF', 'CCU-CL']"
AKO.B,"COKE,KOF,KO,FMX,CCU","['COKE', 'KOF', 'KO', 'FMX', 'CCU']"
AKR,"WMT,FOSL,DKS,DLTR,URBN","['WMT', 'FOSL', 'DKS', 'DLTR', 'URBN']"
AKTS,"PIOE,PLUG,PTE-CA,OZSC","['PIOE', 'PLUG', 'PTE-CA', 'OZSC']"
AKTX,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
AL,"AER,TGH,WLFC,ACY,CAP,FLY","['AER', 'TGH', 'WLFC', 'ACY', 'CAP', 'FLY']"
ALB,"DOW,CHMT,HUN,GRA,WLK,XOM,BASFY,PBR","['DOW', 'CHMT', 'HUN', 'GRA', 'WLK', 'XOM', 'BASFY', 'PBR']"
ALBO,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ALCO,"FDP,LMNR,BG,NNUTU","['FDP', 'LMNR', 'BG', 'NNUTU']"
ALDX,"ANTH,REGN,FPRX,TENX","['ANTH', 'REGN', 'FPRX', 'TENX']"
ALE,"LNT,XEL,WEC,DUK,EXC,AEE,AT,NEE,NWE","['LNT', 'XEL', 'WEC', 'DUK', 'EXC', 'AEE', 'AT', 'NEE', 'NWE']"
ALEX,"DAC,AMT,RYN,ONVO","['DAC', 'AMT', 'RYN', 'ONVO']"
ALG,"LNN,SNA,SCX,DE,AGCO,TTC","['LNN', 'SNA', 'SCX', 'DE', 'AGCO', 'TTC']"
ALGN,"XRAY,BIOL,MMM,DHR","['XRAY', 'BIOL', 'MMM', 'DHR']"
ALGT,"JBLU,SKYW,ALK,LUV,DAL,HA,SAVE,AAL,UAL","['JBLU', 'SKYW', 'ALK', 'LUV', 'DAL', 'HA', 'SAVE', 'AAL', 'UAL']"
ALIM,"REGN,AERI,INSM","['REGN', 'AERI', 'INSM']"
ALJJ,"X,NUE,SCHN","['X', 'NUE', 'SCHN']"
ALK,"UAL,JBLU,HA,DAL,ALGT,LUV,SKYW,AAL","['UAL', 'JBLU', 'HA', 'DAL', 'ALGT', 'LUV', 'SKYW', 'AAL']"
ALKS,"ACOR,BMY,JNJ,PFE,AZN,TEVA,ZGNX,SNY,NVS","['ACOR', 'BMY', 'JNJ', 'PFE', 'AZN', 'TEVA', 'ZGNX', 'SNY', 'NVS']"
ALL,"PGR,TRV,UNM,LNC,SAFT,PRU,HMN","['PGR', 'TRV', 'UNM', 'LNC', 'SAFT', 'PRU', 'HMN']"
ALLE,"FBHS,ADT,SPB,SWK,CIX,NL,BRC","['FBHS', 'ADT', 'SPB', 'SWK', 'CIX', 'NL', 'BRC']"
ALLK,"ONTX,ONPH,OILS-CA,OPK","['ONTX', 'ONPH', 'OILS-CA', 'OPK']"
ALLO,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ALLT,"RDWR,JNPR,FFIV,EXTR,CSCO,ERIC,CALX,ADTN","['RDWR', 'JNPR', 'FFIV', 'EXTR', 'CSCO', 'ERIC', 'CALX', 'ADTN']"
ALLY,"INBK,CIT,SC,CACC","['INBK', 'CIT', 'SC', 'CACC']"
ALNA,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ALNY,"ARWR,REGN,SRPT,OPK,RGLS,NVS,SNY,TEVA","['ARWR', 'REGN', 'SRPT', 'OPK', 'RGLS', 'NVS', 'SNY', 'TEVA']"
ALOT,"USAT,TACT,NATI,ZBRA,MRCY,DHR,DDD,DOV,IART","['USAT', 'TACT', 'NATI', 'ZBRA', 'MRCY', 'DHR', 'DDD', 'DOV', 'IART']"
ALPN,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ALRM,"SHOP,QLYS,JKHY,VMW","['SHOP', 'QLYS', 'JKHY', 'VMW']"
ALRN,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
ALSK,"CNSL,CBB,VZ,T","['CNSL', 'CBB', 'VZ', 'T']"
ALSN,"NAV,CNHI,MTOR,WGO,SYPR,THO,HON","['NAV', 'CNHI', 'MTOR', 'WGO', 'SYPR', 'THO', 'HON']"
ALT,"ONTX,ONPH,OILS-CA,OPK","['ONTX', 'ONPH', 'OILS-CA', 'OPK']"
ALTM,"PEA-CA,NEXT,MRGE,KMI","['PEA-CA', 'NEXT', 'MRGE', 'KMI']"
ALTR,"XLNX,TXN,MXIM,INTC,QUIK,IBM,LSCC","['XLNX', 'TXN', 'MXIM', 'INTC', 'QUIK', 'IBM', 'LSCC']"
ALV,"GNTX,VC,MGA,LEA,JCI,TM","['GNTX', 'VC', 'MGA', 'LEA', 'JCI', 'TM']"
ALX,"COST,BURL,HD,TJX,GPS,BBBY,TCS,KSS","['COST', 'BURL', 'HD', 'TJX', 'GPS', 'BBBY', 'TCS', 'KSS']"
ALXN,"GILD,REGN,VRTX,BIIB,QGEN,AGIO,RARE,SRPT,BIO.B,JNJ","['GILD', 'REGN', 'VRTX', 'BIIB', 'QGEN', 'AGIO', 'RARE', 'SRPT', 'BIO.B', 'JNJ']"
ALYA,,['']
AM,"SMLP,DM,WMB,EPD","['SMLP', 'DM', 'WMB', 'EPD']"
AMAL,"NABZY,NBHC,NBN,NA-CA","['NABZY', 'NBHC', 'NBN', 'NA-CA']"
AMAT,"LRCX,KLAC,TER,ACLS,ASYS,SNPS,ASML","['LRCX', 'KLAC', 'TER', 'ACLS', 'ASYS', 'SNPS', 'ASML']"
AMBA,"INTC,NVDA,TXN,QCOM","['INTC', 'NVDA', 'TXN', 'QCOM']"
AMBC,"UIHC,STC,RDN,ITIC","['UIHC', 'STC', 'RDN', 'ITIC']"
AMBO,"LXEH,LRN,HLG,FHS","['LXEH', 'LRN', 'HLG', 'FHS']"
AMC,"CNK,MCS,RDI","['CNK', 'MCS', 'RDI']"
AMCX,"FOXA,DIS,CMCSA,DISCA","['FOXA', 'DIS', 'CMCSA', 'DISCA']"
AMD,"INTC,NVDA,TXN,MCHP,HPQ","['INTC', 'NVDA', 'TXN', 'MCHP', 'HPQ']"
AME,"EMR,DHR,BRKR,ESE,ROP,A,GE,TDY,MOG.A","['EMR', 'DHR', 'BRKR', 'ESE', 'ROP', 'A', 'GE', 'TDY', 'MOG.A']"
AMED,"LHCG,CHE,NHC","['LHCG', 'CHE', 'NHC']"
AMEH,"DVCR,NHC,CSU,ACHC","['DVCR', 'NHC', 'CSU', 'ACHC']"
AMG,"BEN,BLK,IVZ,WDR,AB","['BEN', 'BLK', 'IVZ', 'WDR', 'AB']"
AMGN,"PFE,BMY,GSK,GILD,BIIB,ABBV,ALXN,JNJ,ILMN,LLY","['PFE', 'BMY', 'GSK', 'GILD', 'BIIB', 'ABBV', 'ALXN', 'JNJ', 'ILMN', 'LLY']"
AMH,"WRI,HIW,DCT,ACC","['WRI', 'HIW', 'DCT', 'ACC']"
AMJ,,['']
AMKR,"ASX,MU,TXN,INTC,IMOS,QCOM,TSM,UMC","['ASX', 'MU', 'TXN', 'INTC', 'IMOS', 'QCOM', 'TSM', 'UMC']"
AMN,"LTNC,KFRC,MHH,PDPR","['LTNC', 'KFRC', 'MHH', 'PDPR']"
AMNB,"TOWN,NKSH,UCBI,OPOF","['TOWN', 'NKSH', 'UCBI', 'OPOF']"
AMOT,"SVT,TRNS,MAG,GNRC,RBC,AIMC,RXN,ACSEF","['SVT', 'TRNS', 'MAG', 'GNRC', 'RBC', 'AIMC', 'RXN', 'ACSEF']"
AMOV,"TEF,T,DISH,TEO,VIV","['TEF', 'T', 'DISH', 'TEO', 'VIV']"
AMP,"TROW,RJF,AMG,SEIC,HRB,COST,F,PFG","['TROW', 'RJF', 'AMG', 'SEIC', 'HRB', 'COST', 'F', 'PFG']"
AMPE,"AERI,ALIM,JNJ,FLXN,RIGL,ABT,REGN,PFE","['AERI', 'ALIM', 'JNJ', 'FLXN', 'RIGL', 'ABT', 'REGN', 'PFE']"
AMPH,"MRNS,SCYX,AGRX,TNXP","['MRNS', 'SCYX', 'AGRX', 'TNXP']"
AMR,"RHNO,SGQ-CA,NC,MOX-CA","['RHNO', 'SGQ-CA', 'NC', 'MOX-CA']"
AMRB,"OVLY,TCBK,BOCH,CVCY,BMRC,HTBK,CVBF","['OVLY', 'TCBK', 'BOCH', 'CVCY', 'BMRC', 'HTBK', 'CVBF']"
AMRC,"KBR,EXC,ABM,JCI,HON,CVX","['KBR', 'EXC', 'ABM', 'JCI', 'HON', 'CVX']"
AMRK,"UAMY,ENVA,EZPW,WCRS","['UAMY', 'ENVA', 'EZPW', 'WCRS']"
AMRN,"ABBV,AZN,ALKS,GSK,TEVA","['ABBV', 'AZN', 'ALKS', 'GSK', 'TEVA']"
AMRS,"IFF,ALB,FF,GPRE,GEVO,DD,TOT","['IFF', 'ALB', 'FF', 'GPRE', 'GEVO', 'DD', 'TOT']"
